videoId,updateAt,authorId,cmt,label
0yHtYPeK2Jg,2023-03-07 00:37:15,UCXe6ME1NNAPNqmX8ClVOwWw,"Quá xuất sắc , tuyệt vời . 10 đỉm . 👏🏻👏🏻👏🏻👏🏻",0
0yHtYPeK2Jg,2023-03-07 00:38:38,UC5lM3A8LxytqVcmhVNp-NJg,Thị Hằng đã đưa tôi đến đây. Nhưng tôi xem lại 3-4 lần vẫn thấy mỗi Thị Mầu nha 🎉🎉🎉🎉,0
0yHtYPeK2Jg,2023-03-07 00:38:49,UCbWcb9L6EQZ8bmHHuFvRPOQ,Hay quá ❤️,0
0yHtYPeK2Jg,2023-03-07 00:38:56,UCrUqAdMpxua38L_-rkf7J1A,Đi múa cho trường thì hết sẩy,0
0yHtYPeK2Jg,2023-03-07 00:39:24,UCEDeca3SmRowcODd0vbsH5Q,Hay đấy,0
0yHtYPeK2Jg,2023-03-07 00:39:27,UCxzCVEVQioJGR-ZYoLVyjbw,"Mong MV sẽ được bạn bè quốc tế biết tới, để quảng bá văn hoá việt Nam",0
0yHtYPeK2Jg,2023-03-07 00:40:52,UC2QDtXH3s-qfWg8BLHJERzw,MV hay quá chị ơiiiii,0
0yHtYPeK2Jg,2023-03-07 00:41:04,UC2QDtXH3s-qfWg8BLHJERzw,Nhạc hay quá,0
0yHtYPeK2Jg,2023-03-07 00:41:37,UC0rlc-tWfdw8Ps-g4-ZpbmQ,Thật sự thì khâm phục bà mẹ 1 con này,0
0yHtYPeK2Jg,2023-03-07 00:43:04,UCzfx-PgEZ-Kr1NzBSX5v_7w,🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓,0
0yHtYPeK2Jg,2023-03-07 00:43:26,UCuai_PQRv4e7pUZn8X7sSDA,Hay quá đi mất thôi,0
0yHtYPeK2Jg,2023-03-07 00:43:42,UCzfx-PgEZ-Kr1NzBSX5v_7w,🌺🌺🌺🌺🌺🌺🌺🌺,0
0yHtYPeK2Jg,2023-03-07 00:46:58,UCy_e_UH-3QuzincZ0uheceg,Hoà hợp với dòng nhạc này. Rất hay,0
0yHtYPeK2Jg,2023-03-07 00:47:49,UCyI7ZaZYxUDWA3eUgj_cj5g,🎉🎉🎉🎉 nghe hoai lun,0
0yHtYPeK2Jg,2023-03-07 00:47:50,UClrnOlzDBOSSUNY8StOF5ZQ,t.o.p 3 gòy,0
0yHtYPeK2Jg,2023-03-07 00:48:06,UCzUOWtpHgnLf__KHJCLTN4Q,Sáng dậy là vào nghe Thị Mầu liền. Top 3 rủi mn ơi🎉🎉🎉🎉,0
0yHtYPeK2Jg,2023-03-07 00:51:09,UCVEIkqzKnJqNpa1Nk6gV5rw,cái điệu cười k lẫn đi đâu được :v,0
0yHtYPeK2Jg,2023-03-07 00:51:31,UChkrigoLXzZkKiIPoEtp_dg,Top #3 ròi chị iu ơiiiii,0
0yHtYPeK2Jg,2023-03-07 00:52:18,UCp9MlSsvvD3RlpWAlYV4gHw,Nhạc đỉnh lắm chị Hoà ơi. Mọi người chỉnh lên x1.25 nghe thử đi dính cực lun,0
0yHtYPeK2Jg,2023-03-07 00:54:18,UC-ndOSL2J4W0K4w3oiFRokQ,cuốn quá xá cuốn dị á 😘😘👍,0
0yHtYPeK2Jg,2023-03-07 00:55:01,UCdcuSqfMDokqALMminjvOcA,chị xinh vãi Ò,0
0yHtYPeK2Jg,2023-03-07 00:55:19,UCexhE3OnI0F9gLXB5VlsGoQ,Thích rất rất thích luôn. Yêu hoà,0
0yHtYPeK2Jg,2023-03-07 00:58:59,UCY560pu9OEiVGXDfV4rU_Tw,Mới ra 1ngay mà 1.6tr view r.. dữ dằn,0
0yHtYPeK2Jg,2023-03-07 00:59:30,UCE2WYpsLiakkgo-bukN8bbQ,Like,0
0yHtYPeK2Jg,2023-03-07 00:59:55,UCWWJF9pk_Qtg7tCsTP25Y5w,Chúc mừng thị màu xuất sắc lop vào top 3 rồi,0
0yHtYPeK2Jg,2023-03-07 01:01:25,UCnj868loNNstxJW1ajo07rw,Hay quá!!! Ủng hộ các sản phẩm ý nghĩa như vậy ạ❤❤,0
0yHtYPeK2Jg,2023-03-07 01:01:59,UCBTSdqZ1HA5tG9uqmU3a2wA,Sang ra là lên luôn top 3,0
0yHtYPeK2Jg,2023-03-07 01:02:42,UCladAzZ_oevf_BL8DzgdNTQ,🥰,0
0yHtYPeK2Jg,2023-03-07 01:04:40,UCwJSgeSFSIAwQOMgc2xVSiw,Xuất sắc♥️,0
0yHtYPeK2Jg,2023-03-07 01:04:43,UCSJezy0y0P0d0fkbj6axZiw,Hay quá. Mong Hoà sẽ theo đuổi dòng nhạc này vì nó quá hợp với Hoà,0
0yHtYPeK2Jg,2023-03-07 01:04:44,UC7MUbKs_0PIPgFIdygG-Oqg,Những khát vọng nằm sâu trong mỗi trái tim người Được sống đúng với lòng mình thực chất Những xiềng xích phết màu sơn đạo đức Mấy trăm năm không khóa nổi Thị Mầu,0
0yHtYPeK2Jg,2023-03-07 01:05:17,UCNgFg3lp3dWF0ozwuteOJHg,Hoà hợp giọng hát kiểu ntn thật,0
0yHtYPeK2Jg,2023-03-07 01:05:43,UCW050cDlEz6Cs_yixlcCNKQ,"Hình như Đức Phúc chuyển sang mua tóc dài , tóc rối hay sao á.....😂😂😂. Bài hát hay quá",0
0yHtYPeK2Jg,2023-03-07 01:05:45,UCavMwkZpXqclIlkPMqo9lEg,"#3 rồi cả nhà ơi 🎉, chuẩn bị lên #1 thôi",0
0yHtYPeK2Jg,2023-03-07 01:07:22,UCAYSwhRtxdyOuMymEd2qtVg,S k vo lời,0
